# PPM1D History File
# gamma = 1.4000000000000001
# nx = 200
# cfl = 0.9
# problem = acoustic
#
# 16 columns:
#   1  model_number          Model/dump number
#   2  step                  Timestep count
#   3  time                  Simulation time
#   4  dt                    Current timestep
#   5  total_mass            Total mass in domain
#   6  total_energy          Total energy in domain
#   7  total_kinetic         Total kinetic energy
#   8  total_internal        Total internal energy
#   9  total_momentum        Total momentum
#  10  max_density           Maximum density
#  11  min_density           Minimum density
#  12  max_velocity          Maximum |velocity|
#  13  max_pressure          Maximum pressure
#  14  min_pressure          Minimum pressure
#  15  max_mach              Maximum Mach number
#  16  max_sound_speed       Maximum sound speed
#
          model_number                    step                    time                      dt              total_mass            total_energy           total_kinetic          total_internal          total_momentum             max_density             min_density            max_velocity            max_pressure            min_pressure                max_mach         max_sound_speed
          82           202   7.639134063761337e-01   3.780574683164023e-03   1.001253314137315e+00   2.504386599480621e+00   3.014411455692967e-06   2.504383585069165e+00   0.000000000000000e+00   1.005004239491612e+00   9.999961301877017e-01   5.898839085815878e-03   1.007011397219739e+00   1.000000000338717e+00   4.980458037666481e-03   1.184396905104674e+00
          83           204   7.714745589927251e-01   3.780579576686567e-03   1.001253314137315e+00   2.504386599480621e+00   2.938550565792073e-06   2.504383660930056e+00   0.000000000000000e+00   1.005018729673326e+00   9.999961301972417e-01   5.887990964401789e-03   1.007030470261402e+00   1.000000000345306e+00   4.971287602901976e-03   1.184399583110961e+00
          84           207   7.828165076944439e-01   3.780710871476644e-03   1.001253314137315e+00   2.504386599480621e+00   2.719620127336446e-06   2.504383879860494e+00   0.000000000000000e+00   1.005096267502118e+00   9.999961302059865e-01   5.807721255979991e-03   1.007136085047689e+00   1.000000000335434e+00   4.903481938594085e-03   1.184416001546226e+00
          85           209   7.903782348182121e-01   3.780925318368654e-03   1.001253314137315e+00   2.504386599480621e+00   2.475400071898302e-06   2.504384124080550e+00  -6.938893903907229e-20   1.005278829463187e+00   9.999961302095205e-01   5.667360170181540e-03   1.007387435751632e+00   1.000000000335213e+00   4.784852116871573e-03   1.184456224295168e+00
          86           212   8.017223255218201e-01   3.781624526468787e-03   1.001253314137315e+00   2.504386599480622e+00   1.937033129985286e-06   2.504384662447492e+00  -1.387778780781446e-19   1.006282404597209e+00   9.999961302127826e-01   5.202142728790334e-03   1.008782972593257e+00   1.000000000352276e+00   4.391942060970572e-03   1.184685164544372e+00
          87           214   8.092864432930238e-01   3.782247023870028e-03   1.001253314137315e+00   2.504386599480622e+00   1.481841489938838e-06   2.504385117639132e+00  -1.387778780781446e-19   1.007424367684511e+00   9.999961302140348e-01   4.645096380855050e-03   1.010386520698570e+00   1.000000000373095e+00   3.921442610127010e-03   1.184954198340700e+00
          88           217   8.206371795585496e-01   3.784439193192200e-03   1.001253314137315e+00   2.504386599480623e+00   7.627248055132542e-07   2.504385836755817e+00  -6.938893903907229e-20   1.008895866486691e+00   9.999961302150780e-01   3.422222104844705e-03   1.012453846655387e+00   1.000000000442057e+00   2.889070000638914e-03   1.185300489795517e+00
          89           219   8.282096678539098e-01   3.786912437382264e-03   1.001253314137315e+00   2.504386599480623e+00   3.563955088130757e-07   2.504386243085114e+00  -6.938893903907229e-20   1.009580976859900e+00   9.999961302155230e-01   2.362893317410742e-03   1.013416729868585e+00   1.000000000562685e+00   1.994771556491726e-03   1.185461552355749e+00
          90           222   8.395801352131144e-01   3.791914296371916e-03   1.001253314137315e+00   2.504386599480623e+00   2.079318774225947e-08   2.504386578687435e+00  -1.040834085586084e-19   1.010019191628051e+00   9.999961302159674e-01   6.040292117012283e-04   1.014032707175525e+00   1.000000000926742e+00   5.100935735417367e-04   1.185564499792499e+00
          91           224   8.471686231049868e-01   3.794760533604124e-03   1.001253314137315e+00   2.504386599480623e+00   3.484553587124787e-08   2.504386564635087e+00  -1.040834085586084e-19   1.009900292142576e+00   9.999961302161746e-01   8.491347302932678e-04   1.013865602254624e+00   1.000000001307559e+00   7.165742419584097e-04   1.185536592489182e+00
          92           227   8.585424692626700e-01   3.789560619417228e-03   1.001253314137315e+00   2.504386599480624e+00   3.962341054868086e-07   2.504386203246518e+00  -1.040834085586084e-19   1.009179758618955e+00   9.999961302164513e-01   2.596148321084796e-03   1.012853185483624e+00   1.000000001471543e+00   2.191340613407198e-03   1.185367460917027e+00
          93           229   8.661170661498054e-01   3.786602065571813e-03   1.001253314137315e+00   2.504386599480624e+00   7.973406163058993e-07   2.504385802140007e+00  -1.040834085586084e-19   1.008420423896695e+00   9.999961302167152e-01   3.604488769549527e-03   1.011786623756387e+00   1.000000001471946e+00   3.042743003422939e-03   1.185189153003626e+00
          94           231   8.736867234659140e-01   3.784307326107012e-03   1.001253314137315e+00   2.504386599480624e+00   1.253544401216750e-06   2.504385345936222e+00   0.000000000000000e+00   1.007514422028252e+00   9.999961302170484e-01   4.418265878100095e-03   1.010514512550509e+00   1.000000001472412e+00   3.729966982733815e-03   1.184976286937451e+00
          95           234   8.850351486135062e-01   3.782251747624443e-03   1.001253314137315e+00   2.504386599480624e+00   1.913592918171900e-06   2.504384685887706e+00  -6.938893903907229e-20   1.006025625356483e+00   9.999961302178211e-01   5.263016300124029e-03   1.008426332969812e+00   1.000000001473493e+00   4.443320378631130e-03   1.184626886360682e+00
          96           236   8.925985958030729e-01   3.781584691248745e-03   1.001253314137315e+00   2.504386599480624e+00   2.278995746924258e-06   2.504384320484877e+00  -6.938893903907229e-20   1.005400667333498e+00   9.999961302185953e-01   5.588431593575928e-03   1.007556804578229e+00   1.000000001474578e+00   4.718192459245023e-03   1.184484013105119e+00
          97           239   9.039418440606388e-01   3.780890299025304e-03   1.001253314137315e+00   2.504386599480624e+00   2.676000713321660e-06   2.504383923479911e+00   0.000000000000000e+00   1.005091692344074e+00   9.999961302205100e-01   5.823202696397860e-03   1.007128943859919e+00   1.000000001477259e+00   4.916540829671863e-03   1.184414498142208e+00
          98           241   9.115032810284104e-01   3.780679563742593e-03   1.001253314137315e+00   2.504386599480625e+00   2.845770230985462e-06   2.504383753710393e+00   0.000000000000000e+00   1.005032826785272e+00   9.999961302226533e-01   5.873161090272031e-03   1.007048679123598e+00   1.000000001480260e+00   4.958769095763717e-03   1.184401984458865e+00
          99           244   9.228450812483371e-01   3.780566283674659e-03   1.001253314137315e+00   2.504386599480625e+00   2.993121806734647e-06   2.504383606358818e+00  -1.387778780781446e-19   1.005009776427496e+00   9.999961302280933e-01   5.905006179227615e-03   1.007018757318642e+00   1.000000000656024e+00   4.985660500141648e-03   1.184397970752290e+00
         100           246   9.304061734702026e-01   3.780542154183998e-03   1.001253314137315e+00   2.504386599480625e+00   3.043183822766043e-06   2.504383556296802e+00  -2.775557561562891e-19   1.005006044535227e+00   9.999961302340206e-01   5.908575182876524e-03   1.007014452234259e+00   1.000000000000314e+00   4.988675249770224e-03   1.184397638060058e+00
         101           249   9.417478009170843e-01   3.780546232810171e-03   1.001253314137315e+00   2.504386599480625e+00   3.078508664573409e-06   2.504383520971960e+00   0.000000000000000e+00   1.005000936263715e+00   9.999961302485582e-01   5.904967889084503e-03   1.007007976742343e+00   9.999999994545076e-01   4.985632931038883e-03   1.184396840032516e+00
         102           251   9.493089123090713e-01   3.780557611381132e-03   1.001253314137315e+00   2.504386599480625e+00   3.088098647458984e-06   2.504383511381978e+00   0.000000000000000e+00   1.005002187973711e+00   9.999961302640031e-01   5.906646779889578e-03   1.007009843702768e+00   9.999999994433489e-01   4.987048920759743e-03   1.184397200376719e+00
         103           254   9.606505326088930e-01   3.780533664264540e-03   1.001253314137315e+00   2.504386599480626e+00   3.093668192599538e-06   2.504383505812433e+00   0.000000000000000e+00   1.005005793428789e+00   9.999961303012108e-01   5.911060365933102e-03   1.007015060595309e+00   9.999999998598212e-01   4.990771386250716e-03   1.184398143785493e+00
         104           256   9.682115921026582e-01   3.780529204403910e-03   1.001253314137315e+00   2.504386599480626e+00   3.094908316845598e-06   2.504383504572309e+00  -1.387778780781446e-19   1.005005732476530e+00   9.999961303361540e-01   5.911016715881482e-03   1.007015008565318e+00   9.999999997735488e-01   4.990734509634824e-03   1.184398149104108e+00
         105           259   9.795531961433909e-01   3.780539716238392e-03   1.001253314137315e+00   2.504386599480627e+00   3.095559181752047e-06   2.504383503921445e+00  -2.775557561562891e-19   1.005001841166484e+00   9.999961303963395e-01   5.906442310734675e-03   1.007009564724765e+00   9.999999983827145e-01   4.986876115465234e-03   1.184397240672912e+00
         106           261   9.871142947046579e-01   3.780550736093388e-03   1.001253314137315e+00   2.504386599480626e+00   3.095719622080913e-06   2.504383503761005e+00  -1.387778780781446e-19   1.005003451068458e+00   9.999961305464281e-01   5.908340606242160e-03   1.007011824563235e+00   9.999999973908797e-01   4.988477266010836e-03   1.184397620993253e+00
         107           263   9.946753679852526e-01   3.780532692565442e-03   1.001253314137315e+00   2.504386599480627e+00   3.095816808086806e-06   2.504383503663818e+00   0.000000000000000e+00   1.005006461668248e+00   9.999961306715768e-01   5.911889398188473e-03   1.007016049081594e+00   9.999999967472224e-01   4.991470556664531e-03   1.184398331328433e+00
         108           265   1.000000000000000e+00   1.544104954118608e-03   1.001253314137315e+00   2.504386599480627e+00   3.095862119416502e-06   2.504383503618508e+00   0.000000000000000e+00   1.005002380973518e+00   9.999961307458956e-01   5.907080353804084e-03   1.007010324940779e+00   9.999999995413830e-01   4.987414279313868e-03   1.184397369655993e+00
         109           265   1.000000000000000e+00   1.544104954118608e-03   1.001253314137315e+00   2.504386599480627e+00   3.095862119416502e-06   2.504383503618508e+00   0.000000000000000e+00   1.005002380973518e+00   9.999961307458956e-01   5.907080353804084e-03   1.007010324940779e+00   9.999999995413830e-01   4.987414279313868e-03   1.184397369655993e+00
